,Unnamed: 0,id,created_at,text,source,tweet_type,source_tweet_id,retweeted_tweet_id,quoted_tweet_id,quote_count,retweet_count,favorite_count,hashtags,most_unrolled_urls,tweet_links,user_screen_name,user_id,user_mentions,user_followers_count,user_following_count,user_listed_count,user_created_at,user_favourites_count,user_verified,user_statuses_count,expanded_links,url_title,url_description,url_domain,clean_text
27,316,244907957421211648,2012-09-09 21:19:41,RT @Lizardoid: Flabbergasted Rand Paul Learns Public Employment Decreased Under Obama http://t.co/9Gc6tSEf,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",retweet,244898103910604801,2.448981039106048e+17,,0,47,0,,http://lgf.bz/Tz4USU|http://lgf.bz/Tz4USU,http://lgf.bz/Tz4USU,PatHeibBrock,490910776,21785215,72,141,3,Mon Feb 13 01:42:35 +0000 2012,0,False,2469,http://littlegreenfootballs.com/page/284605_Flabbergasted_Rand_Paul_Learns,flabbergasted rand paul learns public employment decreased under obama - lgf pages,full article and video at link thinkprogressorg one of the least appreciated but easily-confirmed facts about the current state of the american economy is that the number of americans employed by the government has gone down under president obama but ,littlegreenfootballs.com,rt lizard id flabbergasted rand paul learns public employment decreased obama flabbergasted rand paul learns public employment decreased obama gf pages full article video link thinkprogress org one least appreciated easily confirmed facts current state american economy number americans employed government gone president obama
28,337,244907970733948928,2012-09-09 21:19:45,RT @sugarscape: Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/rX7LgDbk,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>",retweet,244907173216407553,2.4490717321640755e+17,,0,13,0,,http://on.sugarsca.pe/TEkoDJ|http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,HanKular,248251937,16510838,302,569,1,Sun Feb 06 16:03:58 +0000 2011,0,False,12263,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,rt sugars cape demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
29,347,244907978505977856,2012-09-09 21:19:46,RT @sugarscape: Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/rX7LgDbk,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",retweet,244907173216407553,2.4490717321640755e+17,,0,14,0,,http://on.sugarsca.pe/TEkoDJ|http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,Jane_Lawson_1D,354262043,16510838,304,704,2,Sat Aug 13 12:16:46 +0000 2011,0,False,14627,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,rt sugars cape demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
30,354,244907985867001856,2012-09-09 21:19:48,Garoto de 5 anos vira prodgio da sinuca e usa at irmozinho para fazer truques assista http://t.co/Ey53G7Mr at me lembrou algum...rsrs,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tweet,244907985867001856,,,0,0,0,,http://uolesporte.blogosfera.uol.com.br/2012/09/09/garoto-de-5-anos-vira-prodigio-da-sinuca-e-usa-ate-irmaozinho-para-fazer-truques-assista/,http://uolesporte.blogosfera.uol.com.br/2012/09/09/garoto-de-5-anos-vira-prodigio-da-sinuca-e-usa-ate-irmaozinho-para-fazer-truques-assista/,cpnjunior,187380237,,12,113,0,Mon Sep 06 02:06:51 +0000 2010,0,False,1499,https://uolesporte.blogosfera.uol.com.br/2012/09/09/garoto-de-5-anos-vira-prodigio-da-sinuca-e-usa-ate-irmaozinho-para-fazer-truques-assista/,garoto de 5 anos vira prodgio da sinuca e usa at irmozinho para fazer truques assista - uol esporte,veja resultados notcias entrevistas fotos vdeos e os bastidores do esporte acompanhe ao vivo os principais eventos esportivos no brasil e do mundo,uolesporte.blogosfera.uol.com.br,proto de5anosviraprodgiodasinu cae usa ati rmozinhoparafazertruques assist html embroualgumrsrsgarotode5 anosviraprodgiodasinucae usa ati rmozinhoparafazertruques assist url esporte veja resultados cias entrevista fotos videos eos last does porte company head vivo os principals eventos e sportive no brasil mundo
31,361,244907992489795585,2012-09-09 21:19:50,RT @sugarscape: Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/rX7LgDbk,web,retweet,244907173216407553,2.4490717321640755e+17,,0,15,0,,http://on.sugarsca.pe/TEkoDJ|http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,KatieRietow,525777609,16510838,75,95,1,Thu Mar 15 21:44:16 +0000 2012,0,False,860,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,rt sugars cape demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
32,376,244908005458599938,2012-09-09 21:19:53,@eduardosuarez: Estas dos fotos de Biden y Obama son fascinantes. Lo que hacen los polticos en campaa. http://t.co/TOLI56So,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",tweet,244908005458599938,,,0,0,0,,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,cabezawcfe,480411325,18757892,538,1999,0,Wed Feb 01 13:28:16 +0000 2012,0,False,128,https://www.buzzfeednews.com/article/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,pizza shop owner gives president a big hug,scott van duzer owner of the big apple pizza showed his affection for the president today in florida,www.buzzfeednews.com,eduardo sure esta dos fotos de biden obama song sites lo que hacenlospolticosencampaa pizza shop owner gives president big hug scott van user owner big apple pizza showed affection president today florida
33,380,244908006314213376,2012-09-09 21:19:53,RT @EMILIOTHEWAY: @BarackObama - Last year President Bartlett and I went to VT. Mr. President you can do it too http://t.co/clEKA9xk  ...,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",retweet,244667501575798785,2.446675015757988e+17,,0,184,0,Obama2VT,http://youtube.com/watch?v=w8DNR-rWKyE|http://youtube.com/watch?v=w8DNR-rWKyE,http://youtube.com/watch?v=w8DNR-rWKyE,sheeebie,159724321,261445178|813286,159,141,0,Sat Jun 26 04:50:26 +0000 2010,0,False,3597,https://www.youtube.com/watch?v=w8DNR-rWKyE,john boyer & his world regions class at virginia tech request president barack obama to visit - youtube,professor john boyer and his 3000 person world regions class at virginia tech request president barack obama to come to his class and discuss american foreig,www.youtube.com,rt emily way barack obama last year president barrett went vt mr president john boxer world regions class virginia tech request president barack obama visit youtube professor john boxer three thousand person world regions class virginia tech request president barack obama come class discuss american big
34,395,244908015982112769,2012-09-09 21:19:55,RT @kgosztola: Americas refusal to extradite Bolivias ex-president to face genocide charges http://t.co/AWZ1dcki by @ggreenwald,web,retweet,244907902031241216,2.449079020312412e+17,,0,1,0,,http://bit.ly/Pfoy3W|http://bit.ly/Pfoy3W,http://bit.ly/Pfoy3W,vruz,28009632,15808218|16076032,863,1994,45,Wed Apr 01 00:46:42 +0000 2009,0,False,24706,https://www.theguardian.com/commentisfree/2012/sep/09/america-refusal-extradite-bolivia,americas refusal to extradite bolivias ex-president to face genocide charges  bolivia  the guardian,glenn greenwald: obama justice officials have all but granted asylum to snchez de lozada  a puppet who payrolled key democratic advisers,www.theguardian.com,rt go sz la americas refusal extradited bolivia sex president face genocide charges g greenwald americas refusal extradited bolivia sex president face genocide charges bolivia guardian glenn greenwald obama justice officials granted asylum sn chez de load puppet pay rolled key democratic advisers
35,400,244908024190337024,2012-09-09 21:19:57,Schoen: Obama Is No Bill Clinton #LNYHBT #TCOT http://t.co/vyHzvmSN via @Newsmax_Media,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244908024190337024,,,0,0,0,LNYHBT|TCOT,http://www.newsmax.com/DougSchoen/Obama-DNC-speech-Clinton/2012/09/07/id/451098,http://www.newsmax.com/DougSchoen/Obama-DNC-speech-Clinton/2012/09/07/id/451098,Dbargen,23195603,20545835,14405,15572,398,Sat Mar 07 14:18:02 +0000 2009,0,False,32851,https://www.newsmax.com/DougSchoen/Obama-DNC-speech-Clinton/2012/09/07/id/451098/,schoen: obama is no bill clinton  newsmaxcom,president obamas speech last night was certainly not the game changer that many expected and hoped that it would be,www.newsmax.com,school obama bill clinton lnyhbttcotvia newman media school obama bill clinton newman com president obama speech last night certainly game changer many expected hoped would
36,407,244908033547841536,2012-09-09 21:20:00,RT @marabout40: Pizza Shop Owner Gives President A Big Hug http://t.co/qR8UdWwx WTH is Joe doing?? LOL Look at the guys faces LMBO,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",retweet,244906240948465664,2.4490624094846566e+17,,0,1,0,,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big|http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,bpizano67,281383605,37048835,1037,1238,39,Wed Apr 13 05:41:52 +0000 2011,0,False,15792,https://www.buzzfeednews.com/article/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,pizza shop owner gives president a big hug,scott van duzer owner of the big apple pizza showed his affection for the president today in florida,www.buzzfeednews.com,rtmarabout40 pizza shop owner gives president big hug w joe lol look guys faces lb pizza shop owner gives president big hug scott van user owner big apple pizza showed affection president today florida
